uid,file,id,label,field,status,source,current
dbt:Multiplayer.dbt:10297:_MP_OVERVIEW_COL_PLAYER:chinese,Multiplayer.dbt,10297,_MP_OVERVIEW_COL_PLAYER,chinese,未翻译(同原文),Player,Player
dbt:Multiplayer.dbt:10298:_MP_OVERVIEW_COL_ASSETS:chinese,Multiplayer.dbt,10298,_MP_OVERVIEW_COL_ASSETS,chinese,未翻译(同原文),Assets,Assets
dbt:Multiplayer.dbt:10299:_MP_OVERVIEW_COL_PING:chinese,Multiplayer.dbt,10299,_MP_OVERVIEW_COL_PING,chinese,未翻译(同原文),Ping,Ping
dbt:Multiplayer.dbt:10300:_MP_OVERVIEW_COL_FAMILY:chinese,Multiplayer.dbt,10300,_MP_OVERVIEW_COL_FAMILY,chinese,未翻译(同原文),Active Family,Active Family
dbt:Multiplayer.dbt:10301:_MP_OVERVIEW_ROLE_HOST:chinese,Multiplayer.dbt,10301,_MP_OVERVIEW_ROLE_HOST,chinese,未翻译(同原文),Host,Host
dbt:Multiplayer.dbt:10302:_MP_OVERVIEW_ROLE_YOU:chinese,Multiplayer.dbt,10302,_MP_OVERVIEW_ROLE_YOU,chinese,未翻译(同原文),You,You
dbt:Multiplayer.dbt:10303:_MP_OVERVIEW_ROLE_CLIENT:chinese,Multiplayer.dbt,10303,_MP_OVERVIEW_ROLE_CLIENT,chinese,未翻译(同原文),Client,Client
dbt:Multiplayer.dbt:10304:_MP_OVERVIEW_UNKNOWN_PLAYER:chinese,Multiplayer.dbt,10304,_MP_OVERVIEW_UNKNOWN_PLAYER,chinese,未翻译(同原文),Player,Player
dbt:Multiplayer.dbt:10305:_MP_OVERVIEW_NO_PLAYERS:chinese,Multiplayer.dbt,10305,_MP_OVERVIEW_NO_PLAYERS,chinese,未翻译(同原文),No Steam players found.,No Steam players found.
dbt:Multiplayer.dbt:10306:_MP_OVERVIEW_MORE_FMT:chinese,Multiplayer.dbt,10306,_MP_OVERVIEW_MORE_FMT,chinese,未翻译(同原文),+%d more,+%d more
dbt:Multiplayer.dbt:10307:_MP_LOBBY_ADV_MARKETITEMS:chinese,Multiplayer.dbt,10307,_MP_LOBBY_ADV_MARKETITEMS,chinese,未翻译(同原文),Market starting goods,Market starting goods
dbt:Multiplayer.dbt:10308:_MP_LOBBY_ADV_PLEVEL:chinese,Multiplayer.dbt,10308,_MP_LOBBY_ADV_PLEVEL,chinese,未翻译(同原文),Player start level,Player start level
dbt:Multiplayer.dbt:10309:_MP_LOBBY_ADV_ALEVEL:chinese,Multiplayer.dbt,10309,_MP_LOBBY_ADV_ALEVEL,chinese,未翻译(同原文),AI start level,AI start level
dbt:Multiplayer.dbt:10310:_MP_LOBBY_ADV_SLEVEL:chinese,Multiplayer.dbt,10310,_MP_LOBBY_ADV_SLEVEL,chinese,未翻译(同原文),Shadow dynasties start level,Shadow dynasties start level
dbt:Multiplayer.dbt:10311:_MP_LOBBY_ADV_AICOST:chinese,Multiplayer.dbt,10311,_MP_LOBBY_ADV_AICOST,chinese,未翻译(同原文),AI cost factor,AI cost factor
dbt:Multiplayer.dbt:10312:_MP_LOBBY_ADV_AIWAGE:chinese,Multiplayer.dbt,10312,_MP_LOBBY_ADV_AIWAGE,chinese,未翻译(同原文),AI wage factor,AI wage factor
dbt:Multiplayer.dbt:10313:_MP_LOBBY_ADV_AITARGET:chinese,Multiplayer.dbt,10313,_MP_LOBBY_ADV_AITARGET,chinese,未翻译(同原文),AI targets players,AI targets players
dbt:Multiplayer.dbt:10314:_MP_LOBBY_ADV_AIATTACK:chinese,Multiplayer.dbt,10314,_MP_LOBBY_ADV_AIATTACK,chinese,未翻译(同原文),AI attack threshold,AI attack threshold
dbt:Multiplayer.dbt:10315:_MP_LOBBY_ADV_AITRUCE:chinese,Multiplayer.dbt,10315,_MP_LOBBY_ADV_AITRUCE,chinese,未翻译(同原文),AI truce (rounds),AI truce (rounds)
dbt:Multiplayer.dbt:10316:_MP_LOBBY_ADV_TIP_DIFF:chinese,Multiplayer.dbt,10316,_MP_LOBBY_ADV_TIP_DIFF,chinese,未翻译(同原文),Difficulty preset. Picking one also updates the AI tuning options below; each of them can still be adjusted individually afterwards.,Difficulty preset. Picking one also updates the AI tuning options below; each of them can still be adjusted individually afterwards.
dbt:Multiplayer.dbt:10317:_MP_LOBBY_ADV_TIP_PMONEY:chinese,Multiplayer.dbt,10317,_MP_LOBBY_ADV_TIP_PMONEY,chinese,未翻译(同原文),Starting gold for every player dynasty.,Starting gold for every player dynasty.
dbt:Multiplayer.dbt:10318:_MP_LOBBY_ADV_TIP_AMONEY:chinese,Multiplayer.dbt,10318,_MP_LOBBY_ADV_TIP_AMONEY,chinese,未翻译(同原文),Starting gold for every AI dynasty.,Starting gold for every AI dynasty.
dbt:Multiplayer.dbt:10319:_MP_LOBBY_ADV_TIP_PTITLE:chinese,Multiplayer.dbt,10319,_MP_LOBBY_ADV_TIP_PTITLE,chinese,未翻译(同原文),Nobility title every player starts with.,Nobility title every player starts with.
dbt:Multiplayer.dbt:10320:_MP_LOBBY_ADV_TIP_ATITLE:chinese,Multiplayer.dbt,10320,_MP_LOBBY_ADV_TIP_ATITLE,chinese,未翻译(同原文),Nobility title every AI dynasty starts with.,Nobility title every AI dynasty starts with.
dbt:Multiplayer.dbt:10321:_MP_LOBBY_ADV_TIP_CLASSES:chinese,Multiplayer.dbt,10321,_MP_LOBBY_ADV_TIP_CLASSES,chinese,未翻译(同原文),Click a class to forbid or allow it. Forbidden classes cannot be picked at character creation.,Click a class to forbid or allow it. Forbidden classes cannot be picked at character creation.
dbt:Multiplayer.dbt:10322:_MP_LOBBY_ADV_TIP_PRES:chinese,Multiplayer.dbt,10322,_MP_LOBBY_ADV_TIP_PRES,chinese,未翻译(同原文),Buildings every player dynasty starts the game with.,Buildings every player dynasty starts the game with.
dbt:Multiplayer.dbt:10323:_MP_LOBBY_ADV_TIP_ARES:chinese,Multiplayer.dbt,10323,_MP_LOBBY_ADV_TIP_ARES,chinese,未翻译(同原文),Buildings every AI dynasty starts the game with.,Buildings every AI dynasty starts the game with.
dbt:Multiplayer.dbt:10324:_MP_LOBBY_ADV_TIP_MARKET:chinese,Multiplayer.dbt,10324,_MP_LOBBY_ADV_TIP_MARKET,chinese,未翻译(同原文),How well stocked the town markets are at game start.,How well stocked the town markets are at game start.
dbt:Multiplayer.dbt:10325:_MP_LOBBY_ADV_TIP_PLEVEL:chinese,Multiplayer.dbt,10325,_MP_LOBBY_ADV_TIP_PLEVEL,chinese,未翻译(同原文),Character level every player's first character starts with. Each level grants skill points to spend.,Character level every player's first character starts with. Each level grants skill points to spend.
dbt:Multiplayer.dbt:10326:_MP_LOBBY_ADV_TIP_ALEVEL:chinese,Multiplayer.dbt,10326,_MP_LOBBY_ADV_TIP_ALEVEL,chinese,未翻译(同原文),Character level the leaders of AI dynasties start with.,Character level the leaders of AI dynasties start with.
dbt:Multiplayer.dbt:10327:_MP_LOBBY_ADV_TIP_SLEVEL:chinese,Multiplayer.dbt,10327,_MP_LOBBY_ADV_TIP_SLEVEL,chinese,未翻译(同原文),Character level the leaders of shadow dynasties (grey non-player families) start with.,Character level the leaders of shadow dynasties (grey non-player families) start with.
dbt:Multiplayer.dbt:10328:_MP_LOBBY_ADV_TIP_AICOST:chinese,Multiplayer.dbt,10328,_MP_LOBBY_ADV_TIP_AICOST,chinese,未翻译(同原文),Share of every cost AI dynasties actually pay. Below 100% the AI gets a discount on everything it buys or builds - lower means a stronger AI economy. 100% is a level playing field.,Share of every cost AI dynasties actually pay. Below 100% the AI gets a discount on everything it buys or builds - lower means a stronger AI economy. 100% is a level playing field.
dbt:Multiplayer.dbt:10329:_MP_LOBBY_ADV_TIP_AIWAGE:chinese,Multiplayer.dbt,10329,_MP_LOBBY_ADV_TIP_AIWAGE,chinese,未翻译(同原文),Share of employee wages AI dynasties actually pay. Stacks with the AI cost factor.,Share of employee wages AI dynasties actually pay. Stacks with the AI cost factor.
dbt:Multiplayer.dbt:10330:_MP_LOBBY_ADV_TIP_AITARGET:chinese,Multiplayer.dbt,10330,_MP_LOBBY_ADV_TIP_AITARGET,chinese,未翻译(同原文),Weight of players when the AI picks a victim for attacks and dirty tricks. Above 100% the AI prefers players over other AI dynasties.,Weight of players when the AI picks a victim for attacks and dirty tricks. Above 100% the AI prefers players over other AI dynasties.
dbt:Multiplayer.dbt:10331:_MP_LOBBY_ADV_TIP_AIATTACK:chinese,Multiplayer.dbt,10331,_MP_LOBBY_ADV_TIP_AIATTACK,chinese,未翻译(同原文),The AI only attacks dynasties it likes at most this much. A higher threshold means the AI turns hostile more easily.,The AI only attacks dynasties it likes at most this much. A higher threshold means the AI turns hostile more easily.
dbt:Multiplayer.dbt:10332:_MP_LOBBY_ADV_TIP_AITRUCE:chinese,Multiplayer.dbt,10332,_MP_LOBBY_ADV_TIP_AITRUCE,chinese,未翻译(同原文),Number of peaceful rounds at game start before AI dynasties begin choosing enemies and attacking.,Number of peaceful rounds at game start before AI dynasties begin choosing enemies and attacking.
dbt:Tables.dbt:1:Text:name,Tables.dbt,1,Text,name,未翻译(同原文),Text,Text
dbt:Tables.dbt:2:Achievements:name,Tables.dbt,2,Achievements,name,未翻译(同原文),Achievements,Achievements
dbt:Tables.dbt:3:Multiplayer:name,Tables.dbt,3,Multiplayer,name,未翻译(同原文),Multiplayer,Multiplayer
dbt:Tables.dbt:4:Tooltips:name,Tables.dbt,4,Tooltips,name,未翻译(同原文),Tooltips,Tooltips
dbt:Tables.dbt:5:TipLabels:name,Tables.dbt,5,TipLabels,name,未翻译(同原文),TipLabels,TipLabels
dbt:Text.dbt:3:Time: %1s Uhr %2s:chinese,Text.dbt,3,Time: %1s Uhr %2s,chinese,未翻译(同原文),%1s:%2s,%1s:%2s
dbt:Text.dbt:5:Buildingtype %1s:chinese,Text.dbt,5,Buildingtype %1s,chinese,未翻译(同原文),%1s,%1s
dbt:Text.dbt:7:+:chinese,Text.dbt,7,+,chinese,未翻译(同原文),+,+
dbt:Text.dbt:16:%1t Taler:chinese,Text.dbt,16,%1t Taler,chinese,未翻译(同原文),%1t,%1t
dbt:Text.dbt:45:-%1t:chinese,Text.dbt,45,-%1t,chinese,未翻译(同原文),-%1t,-%1t
dbt:Text.dbt:53:%1n$S[2003]:chinese,Text.dbt,53,%1n$S[2003],chinese,未翻译(同原文),%1n$S[2003],%1n$S[2003]
dbt:Text.dbt:54:+%1n$S[2004]:chinese,Text.dbt,54,+%1n$S[2004],chinese,未翻译(同原文),+%1n$S[2004],+%1n$S[2004]
dbt:Text.dbt:101:The:chinese,Text.dbt,101,The,chinese,译文为空,The,
dbt:Text.dbt:171:SimName: %1s %2s:chinese,Text.dbt,171,SimName: %1s %2s,chinese,未翻译(同原文),%1s %2s,%1s %2s
dbt:Text.dbt:172:DynastyName: %1s:chinese,Text.dbt,172,DynastyName: %1s,chinese,未翻译(同原文),%1s,%1s
dbt:Text.dbt:173:TimeValue:%1s:%2s:chinese,Text.dbt,173,TimeValue:%1s:%2s,chinese,未翻译(同原文),%1s:%2s,%1s:%2s
dbt:Text.dbt:180:OverheadSymbolFavorInc:chinese,Text.dbt,180,OverheadSymbolFavorInc,chinese,未翻译(同原文),"$C[255,255,255]$S[2007] +%1i","$C[255,255,255]$S[2007] +%1i"
dbt:Text.dbt:181:OverheadSymbolFavorDec:chinese,Text.dbt,181,OverheadSymbolFavorDec,chinese,未翻译(同原文),"$C[255,0,0]$S[2006] %1i","$C[255,0,0]$S[2006] %1i"
dbt:Text.dbt:182:OverheadSymbolXPInc:chinese,Text.dbt,182,OverheadSymbolXPInc,chinese,未翻译(同原文),"$C[255,255,255]$S[2004]$S[2005] +%1i","$C[255,255,255]$S[2004]$S[2005] +%1i"
dbt:Text.dbt:183:OverheadSymbolXPDec:chinese,Text.dbt,183,OverheadSymbolXPDec,chinese,未翻译(同原文),"$C[255,0,0]$S[2004]$S[2005] %1i","$C[255,0,0]$S[2004]$S[2005] %1i"
dbt:Text.dbt:184:OverheadSymbolHPInc:chinese,Text.dbt,184,OverheadSymbolHPInc,chinese,未翻译(同原文),"$C[255,255,255]HP: +%1i","$C[255,255,255]HP: +%1i"
dbt:Text.dbt:185:OverheadSymbolHPDec:chinese,Text.dbt,185,OverheadSymbolHPDec,chinese,未翻译(同原文),"$C[255,0,0]$S[2003] %1i","$C[255,0,0]$S[2003] %1i"
dbt:Text.dbt:186:%1l:chinese,Text.dbt,186,%1l,chinese,未翻译(同原文),%1l,%1l
dbt:Text.dbt:287:TEXT_025:chinese,Text.dbt,287,TEXT_025,chinese,未翻译(同原文),x 0.25,x 0.25
dbt:Text.dbt:289:TEXT_8:chinese,Text.dbt,289,TEXT_8,chinese,未翻译(同原文),x 8,x 8
dbt:Text.dbt:294:NumberPoint:chinese,Text.dbt,294,NumberPoint,chinese,未翻译(同原文),",",","
dbt:Text.dbt:368:_ABILITIES_POINTS_+0:chinese,Text.dbt,368,_ABILITIES_POINTS_+0,chinese,未翻译(同原文),(%1i),(%1i)
dbt:Text.dbt:429:_CHARACTERS_2_PROFESSIONS_cocotte_NAME_+0:chinese,Text.dbt,429,_CHARACTERS_2_PROFESSIONS_cocotte_NAME_+0,chinese,译文为空,,
dbt:Text.dbt:431:_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_1_+0:chinese,Text.dbt,431,_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_1_+0,chinese,译文为空,,
dbt:Text.dbt:433:_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_1_+2:chinese,Text.dbt,433,_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_1_+2,chinese,译文为空,,
dbt:Text.dbt:435:_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_2_+0:chinese,Text.dbt,435,_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_2_+0,chinese,译文为空,,
dbt:Text.dbt:437:_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_2_+2:chinese,Text.dbt,437,_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_2_+2,chinese,译文为空,,
dbt:Text.dbt:439:_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_3_+0:chinese,Text.dbt,439,_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_3_+0,chinese,译文为空,,
dbt:Text.dbt:441:_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_3_+2:chinese,Text.dbt,441,_CHARACTERS_2_PROFESSIONS_cocotte_LEVEL_3_+2,chinese,译文为空,,
dbt:Text.dbt:558:_BUILDING_Shell_POOL_+11:chinese,Text.dbt,558,_BUILDING_Shell_POOL_+11,chinese,译文为空,,
dbt:Text.dbt:559:_BUILDING_Shell_POOL_+10:chinese,Text.dbt,559,_BUILDING_Shell_POOL_+10,chinese,译文为空,,
dbt:Text.dbt:560:_BUILDING_Shell_POOL_+7:chinese,Text.dbt,560,_BUILDING_Shell_POOL_+7,chinese,译文为空,,
dbt:Text.dbt:561:_BUILDING_Shell_POOL_+6:chinese,Text.dbt,561,_BUILDING_Shell_POOL_+6,chinese,译文为空,,
dbt:Text.dbt:562:_BUILDING_Shell_POOL_+3:chinese,Text.dbt,562,_BUILDING_Shell_POOL_+3,chinese,译文为空,,
dbt:Text.dbt:563:_BUILDING_Shell_POOL_+2:chinese,Text.dbt,563,_BUILDING_Shell_POOL_+2,chinese,译文为空,,
dbt:Text.dbt:564:_BUILDING_Shell_POOL_+1:chinese,Text.dbt,564,_BUILDING_Shell_POOL_+1,chinese,译文为空,,
dbt:Text.dbt:565:_BUILDING_Shell_POOL_+0:chinese,Text.dbt,565,_BUILDING_Shell_POOL_+0,chinese,译文为空,,
dbt:Text.dbt:566:_BUILDING_Shell_REQUIREMENTS_+0:chinese,Text.dbt,566,_BUILDING_Shell_REQUIREMENTS_+0,chinese,译文为空,,
dbt:Text.dbt:570:_BUILDING_Salmon_POOL_+11:chinese,Text.dbt,570,_BUILDING_Salmon_POOL_+11,chinese,译文为空,,
dbt:Text.dbt:571:_BUILDING_Salmon_POOL_+10:chinese,Text.dbt,571,_BUILDING_Salmon_POOL_+10,chinese,译文为空,,
dbt:Text.dbt:572:_BUILDING_Salmon_POOL_+9:chinese,Text.dbt,572,_BUILDING_Salmon_POOL_+9,chinese,译文为空,,
dbt:Text.dbt:573:_BUILDING_Salmon_POOL_+8:chinese,Text.dbt,573,_BUILDING_Salmon_POOL_+8,chinese,译文为空,,
dbt:Text.dbt:574:_BUILDING_Salmon_POOL_+7:chinese,Text.dbt,574,_BUILDING_Salmon_POOL_+7,chinese,译文为空,,
dbt:Text.dbt:575:_BUILDING_Salmon_POOL_+6:chinese,Text.dbt,575,_BUILDING_Salmon_POOL_+6,chinese,译文为空,,
dbt:Text.dbt:576:_BUILDING_Salmon_POOL_+5:chinese,Text.dbt,576,_BUILDING_Salmon_POOL_+5,chinese,译文为空,,
dbt:Text.dbt:577:_BUILDING_Salmon_POOL_+4:chinese,Text.dbt,577,_BUILDING_Salmon_POOL_+4,chinese,译文为空,,
dbt:Text.dbt:578:_BUILDING_Salmon_POOL_+3:chinese,Text.dbt,578,_BUILDING_Salmon_POOL_+3,chinese,译文为空,,
dbt:Text.dbt:579:_BUILDING_Salmon_POOL_+2:chinese,Text.dbt,579,_BUILDING_Salmon_POOL_+2,chinese,译文为空,,
dbt:Text.dbt:580:_BUILDING_Salmon_POOL_+1:chinese,Text.dbt,580,_BUILDING_Salmon_POOL_+1,chinese,译文为空,,
dbt:Text.dbt:581:_BUILDING_Salmon_POOL_+0:chinese,Text.dbt,581,_BUILDING_Salmon_POOL_+0,chinese,译文为空,,
dbt:Text.dbt:582:_BUILDING_Salmon_REQUIREMENTS_+0:chinese,Text.dbt,582,_BUILDING_Salmon_REQUIREMENTS_+0,chinese,译文为空,,
dbt:Text.dbt:586:_BUILDING_Herring_POOL_+11:chinese,Text.dbt,586,_BUILDING_Herring_POOL_+11,chinese,译文为空,,
dbt:Text.dbt:587:_BUILDING_Herring_POOL_+10:chinese,Text.dbt,587,_BUILDING_Herring_POOL_+10,chinese,译文为空,,
dbt:Text.dbt:588:_BUILDING_Herring_POOL_+9:chinese,Text.dbt,588,_BUILDING_Herring_POOL_+9,chinese,译文为空,,
dbt:Text.dbt:589:_BUILDING_Herring_POOL_+8:chinese,Text.dbt,589,_BUILDING_Herring_POOL_+8,chinese,译文为空,,
dbt:Text.dbt:590:_BUILDING_Herring_POOL_+7:chinese,Text.dbt,590,_BUILDING_Herring_POOL_+7,chinese,译文为空,,
dbt:Text.dbt:591:_BUILDING_Herring_POOL_+6:chinese,Text.dbt,591,_BUILDING_Herring_POOL_+6,chinese,译文为空,,
dbt:Text.dbt:592:_BUILDING_Herring_POOL_+5:chinese,Text.dbt,592,_BUILDING_Herring_POOL_+5,chinese,译文为空,,
dbt:Text.dbt:593:_BUILDING_Herring_POOL_+4:chinese,Text.dbt,593,_BUILDING_Herring_POOL_+4,chinese,译文为空,,
dbt:Text.dbt:594:_BUILDING_Herring_POOL_+3:chinese,Text.dbt,594,_BUILDING_Herring_POOL_+3,chinese,译文为空,,
dbt:Text.dbt:595:_BUILDING_Herring_POOL_+2:chinese,Text.dbt,595,_BUILDING_Herring_POOL_+2,chinese,译文为空,,
dbt:Text.dbt:596:_BUILDING_Herring_POOL_+1:chinese,Text.dbt,596,_BUILDING_Herring_POOL_+1,chinese,译文为空,,
dbt:Text.dbt:597:_BUILDING_Herring_POOL_+0:chinese,Text.dbt,597,_BUILDING_Herring_POOL_+0,chinese,译文为空,,
dbt:Text.dbt:598:_BUILDING_Herring_REQUIREMENTS_+0:chinese,Text.dbt,598,_BUILDING_Herring_REQUIREMENTS_+0,chinese,译文为空,,
dbt:Text.dbt:626:_BUILDING_Shell_POOL_+9:chinese,Text.dbt,626,_BUILDING_Shell_POOL_+9,chinese,译文为空,,
dbt:Text.dbt:627:_BUILDING_Shell_POOL_+8:chinese,Text.dbt,627,_BUILDING_Shell_POOL_+8,chinese,译文为空,,
dbt:Text.dbt:628:_BUILDING_Shell_POOL_+5:chinese,Text.dbt,628,_BUILDING_Shell_POOL_+5,chinese,译文为空,,
dbt:Text.dbt:629:_BUILDING_Shell_POOL_+4:chinese,Text.dbt,629,_BUILDING_Shell_POOL_+4,chinese,译文为空,,
dbt:Text.dbt:631:_BUILDING_BlackBoard_POOL_+9:chinese,Text.dbt,631,_BUILDING_BlackBoard_POOL_+9,chinese,译文为空,,
dbt:Text.dbt:632:_BUILDING_BlackBoard_POOL_+8:chinese,Text.dbt,632,_BUILDING_BlackBoard_POOL_+8,chinese,译文为空,,
dbt:Text.dbt:633:_BUILDING_BlackBoard_POOL_+6:chinese,Text.dbt,633,_BUILDING_BlackBoard_POOL_+6,chinese,译文为空,,
dbt:Text.dbt:634:_BUILDING_BlackBoard_POOL_+5:chinese,Text.dbt,634,_BUILDING_BlackBoard_POOL_+5,chinese,译文为空,,
dbt:Text.dbt:635:_BUILDING_BlackBoard_POOL_+4:chinese,Text.dbt,635,_BUILDING_BlackBoard_POOL_+4,chinese,译文为空,,
dbt:Text.dbt:636:_BUILDING_BlackBoard_POOL_+2:chinese,Text.dbt,636,_BUILDING_BlackBoard_POOL_+2,chinese,译文为空,,
dbt:Text.dbt:637:_BUILDING_BlackBoard_POOL_+1:chinese,Text.dbt,637,_BUILDING_BlackBoard_POOL_+1,chinese,译文为空,,
dbt:Text.dbt:638:_BUILDING_BlackBoard_POOL_+0:chinese,Text.dbt,638,_BUILDING_BlackBoard_POOL_+0,chinese,译文为空,,
dbt:Text.dbt:639:_BUILDING_BlackBoard_REQUIREMENTS_+0:chinese,Text.dbt,639,_BUILDING_BlackBoard_REQUIREMENTS_+0,chinese,译文为空,,
dbt:Text.dbt:643:_GENERAL_OVERHEADSYMBOL_MENCNT_DEC_+0:chinese,Text.dbt,643,_GENERAL_OVERHEADSYMBOL_MENCNT_DEC_+0,chinese,未翻译(同原文),"$C[255,222,0]$S[2056] %1i","$C[255,222,0]$S[2056] %1i"
dbt:Text.dbt:698:_MEASURE_CancelSellBuilding_TARGET_+0:chinese,Text.dbt,698,_MEASURE_CancelSellBuilding_TARGET_+0,chinese,译文为空,,
dbt:Text.dbt:700:_BUILDING_BlackBoard_POOL_+11:chinese,Text.dbt,700,_BUILDING_BlackBoard_POOL_+11,chinese,译文为空,,
dbt:Text.dbt:701:_BUILDING_BlackBoard_POOL_+10:chinese,Text.dbt,701,_BUILDING_BlackBoard_POOL_+10,chinese,译文为空,,
dbt:Text.dbt:702:_BUILDING_BlackBoard_POOL_+7:chinese,Text.dbt,702,_BUILDING_BlackBoard_POOL_+7,chinese,译文为空,,
dbt:Text.dbt:703:_BUILDING_BlackBoard_POOL_+3:chinese,Text.dbt,703,_BUILDING_BlackBoard_POOL_+3,chinese,译文为空,,
dbt:Text.dbt:766:_BUILDING_Watchtower3_POOL_+11:chinese,Text.dbt,766,_BUILDING_Watchtower3_POOL_+11,chinese,译文为空,,
dbt:Text.dbt:767:_BUILDING_Watchtower3_POOL_+10:chinese,Text.dbt,767,_BUILDING_Watchtower3_POOL_+10,chinese,译文为空,,
dbt:Text.dbt:768:_BUILDING_Watchtower3_POOL_+8:chinese,Text.dbt,768,_BUILDING_Watchtower3_POOL_+8,chinese,译文为空,,
dbt:Text.dbt:769:_BUILDING_Watchtower3_POOL_+9:chinese,Text.dbt,769,_BUILDING_Watchtower3_POOL_+9,chinese,译文为空,,
dbt:Text.dbt:770:_BUILDING_Watchtower3_POOL_+7:chinese,Text.dbt,770,_BUILDING_Watchtower3_POOL_+7,chinese,译文为空,,
dbt:Text.dbt:771:_BUILDING_Watchtower3_POOL_+5:chinese,Text.dbt,771,_BUILDING_Watchtower3_POOL_+5,chinese,译文为空,,
dbt:Text.dbt:772:_BUILDING_Watchtower3_POOL_+6:chinese,Text.dbt,772,_BUILDING_Watchtower3_POOL_+6,chinese,译文为空,,
dbt:Text.dbt:773:_BUILDING_Watchtower3_POOL_+4:chinese,Text.dbt,773,_BUILDING_Watchtower3_POOL_+4,chinese,译文为空,,
dbt:Text.dbt:774:_BUILDING_Watchtower3_POOL_+3:chinese,Text.dbt,774,_BUILDING_Watchtower3_POOL_+3,chinese,译文为空,,
dbt:Text.dbt:775:_BUILDING_Watchtower3_POOL_+2:chinese,Text.dbt,775,_BUILDING_Watchtower3_POOL_+2,chinese,译文为空,,
dbt:Text.dbt:776:_BUILDING_Watchtower3_POOL_+0:chinese,Text.dbt,776,_BUILDING_Watchtower3_POOL_+0,chinese,译文为空,,
dbt:Text.dbt:777:_BUILDING_Watchtower3_POOL_+1:chinese,Text.dbt,777,_BUILDING_Watchtower3_POOL_+1,chinese,译文为空,,
dbt:Text.dbt:778:_BUILDING_Watchtower3_REQUIREMENTS_+0:chinese,Text.dbt,778,_BUILDING_Watchtower3_REQUIREMENTS_+0,chinese,译文为空,,
dbt:Text.dbt:782:_BUILDING_Watchtower2_POOL_+11:chinese,Text.dbt,782,_BUILDING_Watchtower2_POOL_+11,chinese,译文为空,,
dbt:Text.dbt:783:_BUILDING_Watchtower2_POOL_+9:chinese,Text.dbt,783,_BUILDING_Watchtower2_POOL_+9,chinese,译文为空,,
